"""Parent ID number""",ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
T,T1215,T1215 - Maintain network infrastructure device operating system software,Maintain network infrastructure device operating system software,1,,,,0,null,"DD-WRL-007,IO-WRL-007,IO-WRL-004",2653,,
T,T1227,"T1227 - Manage cybersecurity budget, staffing, and contracting","Manage cybersecurity budget, staffing, and contracting",1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-003,OG-WRL-007,OG-WRL-009,OG-WRL-014,PD-WRL-005",2663,,
T,T1217,T1217 - Determine if system analysis meets cybersecurity requirements,Determine if system analysis meets cybersecurity requirements,1,,,,0,null,DD-WRL-006,2654,,
T,T1230,T1230 - Maintain directory replication services,Maintain directory replication services,1,,,,0,null,IO-WRL-002,2666,,
T,T1218,T1218 - Integrate automated capabilities for updating or patching system software,Integrate automated capabilities for updating or patching system software,1,,,,0,null,IO-WRL-006,2655,,
T,T1235,T1235 - Manage threat and target analysis,Manage threat and target analysis,1,,,,0,null,OG-WRL-014,2671,,
T,T1219,T1219 - Develop processes and procedures for manual updating and patching of system software,Develop processes and procedures for manual updating and patching of system software,1,,,,0,null,IO-WRL-006,2656,,
T,T1236,T1236 - Manage the production of threat information,Manage the production of threat information,1,,,,0,null,OG-WRL-014,2672,,
T,T1252,"T1252 - Determine the scope, urgency, and impact of cyber defense incidents","Determine the scope, urgency, and impact of cyber defense incidents",1,,,,0,null,PD-WRL-003,2688,,
T,T1237,"T1237 - Determine if systems comply with security, resilience, and dependability requirements","Determine if systems comply with security, resilience, and dependability requirements",1,,,,0,null,,2673,,
T,T1263,T1263 - Perform security reviews,Perform security reviews,1,,,,0,null,"DD-WRL-001,IO-WRL-006,OG-WRL-012",2699,,
T,T1238,T1238 - Determine the effectiveness of enterprise cybersecurity safeguards,Determine the effectiveness of enterprise cybersecurity safeguards,1,,,,0,null,"OG-WRL-007,OG-WRL-014",2674,,
T,T1253,T1253 - Perform dynamic analysis on drives,Perform dynamic analysis on drives,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2689,,
T,T1239,T1239 - Monitor the usage of knowledge management assets and resources,Monitor the usage of knowledge management assets and resources,1,,,,0,null,IO-WRL-003,2675,,
T,T1260,T1260 - Perform real-time cyber defense incident handling,Perform real-time cyber defense incident handling,1,,,,0,null,"PD-WRL-003,PD-WRL-002",2696,,
T,T1240,T1240 - Create knowledge management assets and resources usage reports,Create knowledge management assets and resources usage reports,1,,,,0,null,IO-WRL-003,2676,,
T,T1254,T1254 - Determine the effectiveness of an observed attack,Determine the effectiveness of an observed attack,1,,,,0,null,PD-WRL-001,2690,,
T,T1241,T1241 - Document cybersecurity incidents,Document cybersecurity incidents,1,,,,0,null,"IN-WRL-001,PD-WRL-001",2677,,
T,T1265,T1265 - Develop a cybersecurity risk management plan,Develop a cybersecurity risk management plan,1,,,,0,null,"DD-WRL-001,IO-WRL-006,OG-WRL-012",2701,,
T,T1242,T1242 - Escalate incidents that may cause ongoing and immediate impact to the environment,Escalate incidents that may cause ongoing and immediate impact to the environment,1,,,,0,null,"IN-WRL-001,PD-WRL-001",2678,,
T,T1255,T1255 - Perform cybersecurity testing of developed applications and systems,Perform cybersecurity testing of developed applications and systems,1,,,,0,null,"DD-WRL-007,IO-WRL-006",2691,,
T,T1243,T1243 - Oversee configuration management,Oversee configuration management,1,,,,0,null,"DD-WRL-009,DD-WRL-006",2679,,
T,T1261,T1261 - Mitigate programming vulnerabilities,Mitigate programming vulnerabilities,1,,,,0,null,DD-WRL-003,2697,,
T,T1244,T1244 - Develop configuration management recommendations,Develop configuration management recommendations,1,,,,0,null,"DD-WRL-009,DD-WRL-006",2680,,
T,T1256,T1256 - Perform forensically sound image collection,Perform forensically sound image collection,1,,,,0,null,"IN-WRL-002,PD-WRL-003",2692,,
T,T1245,T1245 - Oversee the cybersecurity training and awareness program,Oversee the cybersecurity training and awareness program,1,,,,0,null,OG-WRL-014,2681,,
T,T1264,T1264 - Identify gaps in security architecture,Identify gaps in security architecture,1,,,,0,null,"DD-WRL-001,IO-WRL-006,OG-WRL-012",2700,,
T,T1246,T1246 - Establish Security Assessment and Authorization processes,Establish Security Assessment and Authorization processes,1,,,,0,null,OG-WRL-014,2682,,
T,T1257,T1257 - Recommend mitigation and remediation strategies for enterprise systems,Recommend mitigation and remediation strategies for enterprise systems,1,,,,0,null,PD-WRL-003,2693,,
T,T1247,T1247 - Develop computer environment cybersecurity plans and requirements,Develop computer environment cybersecurity plans and requirements,1,,,,0,null,OG-WRL-014,2683,,
T,T1262,T1262 - Identify programming code flaws,Identify programming code flaws,1,,,,0,null,DD-WRL-003,2698,,
T,T1248,T1248 - Patch network vulnerabilities,Patch network vulnerabilities,1,,,,0,null,IO-WRL-004,2684,,
T,T1258,T1258 - Perform integrated quality assurance testing,Perform integrated quality assurance testing,1,,,,0,null,"DD-WRL-003,DD-WRL-005",2694,,
T,T1249,T1249 - Perform backup and recovery of databases,Perform backup and recovery of databases,1,,,,0,null,IO-WRL-002,2685,,
T,T1266,T1266 - Recommend risk mitigation strategies,Recommend risk mitigation strategies,1,,,,0,null,"OG-WRL-012,PD-WRL-001,PD-WRL-005",2702,,
T,T1250,T1250 - Perform cyber defense incident triage,Perform cyber defense incident triage,1,,,,0,null,PD-WRL-003,2686,,
T,T1259,T1259 - Identify opportunities for new and improved business process solutions,Identify opportunities for new and improved business process solutions,1,,,,0,null,"DD-WRL-006,OG-WRL-010,OG-WRL-011,OG-WRL-009",2695,,
T,T1251,T1251 - Recommend incident remediation strategies,Recommend incident remediation strategies,1,,,,0,null,PD-WRL-003,2687,,
T,T1267,T1267 - Perform system administration on specialized cyber defense applications and systems,Perform system administration on specialized cyber defense applications and systems,1,,,,0,null,PD-WRL-004,2703,,
T,T1268,T1268 - Administer Virtual Private Network (VPN) devices,Administer Virtual Private Network (VPN) devices,1,,,,0,null,PD-WRL-004,2704,,
K,K1173,K1173 - Knowledge of multilevel security requirements,Knowledge of multilevel security requirements,1,,,,0,null,DD-WRL-001,4376,,
T,T1269,T1269 - Conduct risk analysis of applications and systems undergoing major changes,Conduct risk analysis of applications and systems undergoing major changes,1,,,,0,null,"DD-WRL-003,DD-WRL-004,DD-WRL-005,OG-WRL-012",2705,,
T,T1294,T1294 - Advise on Risk Management Framework process activities and documentation,Advise on Risk Management Framework process activities and documentation,1,,,,0,null,"DD-WRL-001,DD-WRL-002,DD-WRL-004,IO-WRL-006,OG-WRL-012",2731,,
T,T1270,T1270 - Plan security authorization reviews for system and network installations,Plan security authorization reviews for system and network installations,1,,,,0,null,OG-WRL-012,2706,,
T,T1285,T1285 - Distribute standard operating procedures,Distribute standard operating procedures,1,,,,0,null,OG-WRL-014,2722,,
T,T1271,T1271 - Conduct security authorization reviews for system and network installations,Conduct security authorization reviews for system and network installations,1,,,,0,null,OG-WRL-012,2707,,
T,T1292,T1292 - Develop guidelines for implementing developed systems for customers and installation teams,Develop guidelines for implementing developed systems for customers and installation teams,1,,,,0,null,DD-WRL-004,2729,,
T,T1272,T1272 - Develop security assurance cases for system and network installations,Develop security assurance cases for system and network installations,1,,,,0,null,OG-WRL-012,2708,,
T,T1286,T1286 - Maintain standard operating procedures,Maintain standard operating procedures,1,,,,0,null,OG-WRL-014,2723,,
T,T1273,T1273 - Plan knowledge management projects,Plan knowledge management projects,1,,,,0,null,IO-WRL-003,2709,,
T,T1296,T1296 - Recommend data structures for use in the production of reports,Recommend data structures for use in the production of reports,1,,,,0,null,IO-WRL-003,2733,,
T,T1274,T1274 - Deliver knowledge management projects,Deliver knowledge management projects,1,,,,0,null,IO-WRL-003,2710,,
T,T1287,T1287 - Document systems security activities,Document systems security activities,1,,,,0,null,IO-WRL-006,2724,,
T,T1308,T1308 - Coordinate cybersecurity policy review and approval processes,Coordinate cybersecurity policy review and approval processes,1,,,,0,null,"OG-WRL-007,OG-WRL-014",2711,,
T,T1293,T1293 - Advise on security requirements to be included in statements of work,Advise on security requirements to be included in statements of work,1,,,,0,null,"DD-WRL-001,OG-WRL-014",2730,,
T,T1275,T1275 - Determine the effectiveness of data redundancy and system recovery procedures,Determine the effectiveness of data redundancy and system recovery procedures,1,,,,0,null,IO-WRL-005,2712,,
T,T1288,"T1288 - Prepare technical evaluations of software applications, systems, and networks","Prepare technical evaluations of software applications, systems, and networks",1,,,,0,null,,2725,,
T,T1276,T1276 - Develop data redundancy and system recovery procedures,Develop data redundancy and system recovery procedures,1,,,,0,null,IO-WRL-005,2713,,
T,T1297,T1297 - Recommend new database technologies and architectures,Recommend new database technologies and architectures,1,,,,0,null,"IO-WRL-002,IO-WRL-001",2734,,
T,T1277,T1277 - Execute data redundancy and system recovery procedures,Execute data redundancy and system recovery procedures,1,,,,0,null,IO-WRL-005,2714,,
T,T1289,"T1289 - Document software application, system, and network security postures, capabilities, and ...","Document software application, system, and network security postures, capabilities, and vulnerabilities",1,,,,0,null,,2726,,
T,T1278,T1278 - Recommend system modifications,Recommend system modifications,1,,,,0,null,"IO-WRL-006,PD-WRL-001",2715,,
T,T1295,T1295 - Provide cybersecurity awareness and training,Provide cybersecurity awareness and training,1,,,,0,null,OG-WRL-014,2732,,
T,T1279,T1279 - Prepare audit reports,Prepare audit reports,1,,,,0,null,"OG-WRL-008,PD-WRL-007",2716,,
T,T1290,T1290 - Communicate daily network event and activity reports,Communicate daily network event and activity reports,1,,,,0,null,PD-WRL-001,2727,,
T,T1280,T1280 - Develop workflow charts and diagrams,Develop workflow charts and diagrams,1,,,,0,null,DD-WRL-003,2717,,
T,T1298,T1298 - Communicate situational awareness information to leadership,Communicate situational awareness information to leadership,1,,,,0,null,OG-WRL-014,2735,,
T,T1281,T1281 - Convert workflow charts and diagrams into coded computer language instructions,Convert workflow charts and diagrams into coded computer language instructions,1,,,,0,null,DD-WRL-003,2718,,
T,T1291,T1291 - Advise stakeholders on the development of continuity of operations plans,Advise stakeholders on the development of continuity of operations plans,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-009,OG-WRL-014",2728,,
T,T1282,T1282 - Prepare digital media for imaging,Prepare digital media for imaging,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2719,,
T,T1283,T1283 - Develop cybersecurity use cases,Develop cybersecurity use cases,1,,,,0,null,DD-WRL-006,2720,,
T,T1284,T1284 - Develop standard operating procedures for secure network system operations,Develop standard operating procedures for secure network system operations,1,,,,0,null,OG-WRL-014,2721,,
T,T1299,T1299 - Determine causes of network alerts,Determine causes of network alerts,1,,,,0,null,"PD-WRL-001,PD-WRL-003",2736,,
T,T1313,"T1313 - Test network infrastructure, including software and hardware devices","Test network infrastructure, including software and hardware devices",1,,,,0,null,IO-WRL-004,2752,,
T,T1300,T1300 - Report cybersecurity incidents,Report cybersecurity incidents,1,,,,0,null,"OG-WRL-001,OG-WRL-014",2737,,
T,T1329,"T1329 - Document software, network, and system deviations from implemented security postures","Document software, network, and system deviations from implemented security postures",1,,,,0,null,OG-WRL-012,2761,,
T,T1301,T1301 - Report forensic artifacts indicative of a particular operating system,Report forensic artifacts indicative of a particular operating system,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2738,,
T,T1327,T1327 - Update security documentation to reflect current application and system security design ...,Update security documentation to reflect current application and system security design features,1,,,,0,null,"IO-WRL-006,OG-WRL-012",2753,,
T,T1302,T1302 - Address security implications in the software acceptance phase,Address security implications in the software acceptance phase,1,,,,0,null,"DD-WRL-003,DD-WRL-005",2739,,
T,T1333,T1333 - Communicate incident findings to appropriate constituencies,Communicate incident findings to appropriate constituencies,1,,,,0,null,PD-WRL-003,2759,,
T,T1303,"T1303 - Recommend new or revised security, resilience, and dependability measures","Recommend new or revised security, resilience, and dependability measures",1,,,,0,null,,2740,,
T,T1314,"T1314 - Maintain network infrastructure, including software and hardware devices","Maintain network infrastructure, including software and hardware devices",1,,,,0,null,IO-WRL-004,2754,,
T,T1304,T1304 - Recommend organizational cybersecurity resource allocations,Recommend organizational cybersecurity resource allocations,1,,,,0,null,OG-WRL-014,2741,,
T,T1337,T1337 - Identify system and network capabilities,Identify system and network capabilities,1,,,,0,null,"DD-WRL-008,OG-WRL-004",2763,,
T,T1305,T1305 - Determine if authorization and assurance documents identify an acceptable level of risk ...,"Determine if authorization and assurance documents identify an acceptable level of risk for software applications, systems, and networks",1,,,,0,null,"OG-WRL-012,OG-WRL-013",2742,,
T,T1335,T1335 - Promote cybersecurity awareness to management,Promote cybersecurity awareness to management,1,,,,0,null,"OG-WRL-004,OG-WRL-002,OG-WRL-003,OG-WRL-007,OG-WRL-008,OG-WRL-014",2755,,
T,T1306,T1306 - Conduct technology program and project audits,Conduct technology program and project audits,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-002,OG-WRL-003,OG-WRL-009,OG-WRL-016",2743,,
T,T1317,T1317 - Determine if appropriate threat mitigation actions have been taken,Determine if appropriate threat mitigation actions have been taken,1,,,,0,null,OG-WRL-014,2760,,
T,T1309,T1309 - Analyze system capabilities and requirements,Analyze system capabilities and requirements,1,,,,0,null,"DD-WRL-003,DD-WRL-004,DD-WRL-005",2744,,
T,T1315,T1315 - Track cyber defense incidents from initial detection through final resolution,Track cyber defense incidents from initial detection through final resolution,1,,,,0,null,PD-WRL-003,2756,,
T,T1325,T1325 - Document digital evidence,Document digital evidence,1,,,,0,null,"IN-WRL-001,IN-WRL-002,PD-WRL-002,PD-WRL-005",2745,,
T,T1319,T1319 - Document software attack surface elements,Document software attack surface elements,1,,,,0,null,"DD-WRL-003,DD-WRL-005",2764,,
T,T1310,T1310 - Implement protective or corrective measures when a cybersecurity incident or ...,Implement protective or corrective measures when a cybersecurity incident or vulnerability is discovered,1,,,,0,null,"OG-WRL-001,OG-WRL-007,OG-WRL-014",2746,,
T,T1328,"T1328 - Verify implementation of software, network, and system cybersecurity postures","Verify implementation of software, network, and system cybersecurity postures",1,,,,0,null,OG-WRL-012,2757,,
T,T1336,T1336 - Verify the inclusion of sound cybersecurity principles in the organization's vision and ...,Verify the inclusion of sound cybersecurity principles in the organization's vision and goals,1,,,,0,null,"OG-WRL-004,OG-WRL-002,OG-WRL-003,OG-WRL-007,OG-WRL-008,OG-WRL-014",2747,,
T,T1318,T1318 - Integrate security requirements into application design elements,Integrate security requirements into application design elements,1,,,,0,null,"DD-WRL-003,DD-WRL-005",2762,,
T,T1311,T1311 - Design and execute exercise scenarios,Design and execute exercise scenarios,1,,,,0,null,"OG-WRL-004,OG-WRL-005",2748,,
T,T1316,T1316 - Document cyber defense incidents from initial detection through final resolution,Document cyber defense incidents from initial detection through final resolution,1,,,,0,null,PD-WRL-003,2758,,
T,T1326,T1326 - Develop system performance predictions for various operating conditions,Develop system performance predictions for various operating conditions,1,,,,0,null,DD-WRL-004,2749,,
T,T1330,"T1330 - Recommend required actions to correct software, network, and system deviations from ...","Recommend required actions to correct software, network, and system deviations from implemented security postures",1,,,,0,null,OG-WRL-012,2765,,
T,T1312,T1312 - Conduct test and evaluation activities,Conduct test and evaluation activities,1,,,,0,null,DD-WRL-004,2750,,
T,T1332,T1332 - Produce incident findings reports,Produce incident findings reports,1,,,,0,null,"IN-WRL-002,PD-WRL-003",2751,,
K,K1174,K1174 - Knowledge of network components,Knowledge of network components,1,,,,0,null,,4377,,
T,T1320,T1320 - Conduct threat modeling,Conduct threat modeling,1,,,,0,null,"DD-WRL-003,DD-WRL-005",2766,,
T,T1343,T1343 - Provide cybersecurity guidance to organizational risk governance processes,Provide cybersecurity guidance to organizational risk governance processes,1,,,,0,null,"OG-WRL-012,OG-WRL-014",2782,,
T,T1338,T1338 - Develop cybersecurity capability strategies for custom hardware and software development,Develop cybersecurity capability strategies for custom hardware and software development,1,,,,0,null,"DD-WRL-009,DD-WRL-008",2767,,
T,T1358,T1358 - Determine the effectiveness of organizational cybersecurity policies and procedures,Determine the effectiveness of organizational cybersecurity policies and procedures,1,,,,0,null,"OG-WRL-002,OG-WRL-012,OG-WRL-003,OG-WRL-014",2789,,
T,T1321,T1321 - Manage computing environment system operations,Manage computing environment system operations,1,,,,0,null,OG-WRL-014,2768,,
T,T1366,T1366 - Identify supply chain risks for critical system elements,Identify supply chain risks for critical system elements,1,,,,0,null,"DD-WRL-006,OG-WRL-010,OG-WRL-011,OG-WRL-009",2783,,
T,T1331,"T1331 - Verify currency of software application, network, and system accreditation and assurance ...","Verify currency of software application, network, and system accreditation and assurance documentation",1,,,,0,null,,2769,,
T,T1348,T1348 - Distinguish between benign and potentially malicious cybersecurity attacks and intrusions,Distinguish between benign and potentially malicious cybersecurity attacks and intrusions,1,,,,0,null,PD-WRL-001,2792,,
T,T1322,T1322 - Capture network traffic associated with malicious activities,Capture network traffic associated with malicious activities,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2770,,
T,T1344,T1344 - Determine if procurement activities sufficiently address supply chain risks,Determine if procurement activities sufficiently address supply chain risks,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-009,OG-WRL-016,OG-WRL-014",2784,,
T,T1334,T1334 - Produce cybersecurity instructional materials,Produce cybersecurity instructional materials,1,,,,0,null,"IO-WRL-005,IO-WRL-007,OG-WRL-004,OG-WRL-005,OG-WRL-008",2771,,
T,T1347,T1347 - Detect cybersecurity attacks and intrusions,Detect cybersecurity attacks and intrusions,1,,,,0,null,PD-WRL-001,2790,,
T,T1323,T1323 - Analyze network traffic associated with malicious activities,Analyze network traffic associated with malicious activities,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2772,,
T,T1357,T1357 - Determine if cybersecurity requirements have been successfully implemented,Determine if cybersecurity requirements have been successfully implemented,1,,,,0,null,"OG-WRL-002,OG-WRL-012,OG-WRL-003,OG-WRL-014",2785,,
T,T1324,T1324 - Process digital evidence,Process digital evidence,1,,,,0,null,"IN-WRL-001,IN-WRL-002,PD-WRL-002,PD-WRL-005",2773,,
T,T1349,T1349 - Communicate cybersecurity attacks and intrusions alerts,Communicate cybersecurity attacks and intrusions alerts,1,,,,0,null,PD-WRL-001,2794,,
T,T1339,T1339 - Develop cybersecurity compliance processes for external services,Develop cybersecurity compliance processes for external services,1,,,,0,null,OG-WRL-012,2774,,
T,T1345,T1345 - Recommend improvements to procurement activities to address cybersecurity requirements,Recommend improvements to procurement activities to address cybersecurity requirements,1,,,,0,null,"DD-WRL-009,OG-WRL-010,OG-WRL-011,OG-WRL-009,OG-WRL-016,OG-WRL-014",2786,,
T,T1364,T1364 - Conduct system security development,Conduct system security development,1,,,,0,null,"DD-WRL-001,DD-WRL-002,DD-WRL-004",2775,,
T,T1367,T1367 - Document supply chain risks for critical system elements,Document supply chain risks for critical system elements,1,,,,0,null,"DD-WRL-006,OG-WRL-010,OG-WRL-011,OG-WRL-009",2791,,
T,T1340,T1340 - Develop cybersecurity audit processes for external services,Develop cybersecurity audit processes for external services,1,,,,0,null,OG-WRL-012,2776,,
T,T1363,T1363 - Plan system security development,Plan system security development,1,,,,0,null,"DD-WRL-001,DD-WRL-002,DD-WRL-004",2787,,
T,T1355,T1355 - Determine if vulnerability remediation plans are in place,Determine if vulnerability remediation plans are in place,1,,,,0,null,"OG-WRL-012,OG-WRL-007,OG-WRL-014",2777,,
T,T1359,T1359 - Perform penetration testing,Perform penetration testing,1,,,,0,null,DD-WRL-005,2793,,
T,T1341,T1341 - Perform required reviews,Perform required reviews,1,,,,0,null,PD-WRL-007,2778,,
T,T1346,T1346 - Determine if system requirements are adequately demonstrated in data samples,Determine if system requirements are adequately demonstrated in data samples,1,,,,0,null,DD-WRL-007,2788,,
T,T1362,T1362 - Document impact of new system and interface implementations on organization's ...,Document impact of new system and interface implementations on organization's cybersecurity posture,1,,,,0,null,"DD-WRL-001,OG-WRL-012",2779,,
T,T1365,T1365 - Document cybersecurity design and development activities,Document cybersecurity design and development activities,1,,,,0,null,"DD-WRL-004,OG-WRL-012",2795,,
T,T1342,T1342 - Oversee policy standards and implementation strategy development,Oversee policy standards and implementation strategy development,1,,,,0,null,"OG-WRL-007,OG-WRL-014",2780,,
T,T1350,T1350 - Perform continuous monitoring of system activity,Perform continuous monitoring of system activity,1,,,,0,null,PD-WRL-001,2796,,
T,T1356,T1356 - Develop vulnerability remediation plans,Develop vulnerability remediation plans,1,,,,0,null,"OG-WRL-012,OG-WRL-007,OG-WRL-014",2781,,
T,T1360,T1360 - Design programming language exploitation countermeasures and mitigations,Design programming language exploitation countermeasures and mitigations,1,,,,0,null,DD-WRL-003,2797,,
T,T1377,T1377 - Implement critical infrastructure protection policies and procedures,Implement critical infrastructure protection policies and procedures,1,,,,0,null,"OG-WRL-007,OG-WRL-014",2813,,
T,T1351,T1351 - Determine impact of malicious activity on systems and information,Determine impact of malicious activity on systems and information,1,,,,0,null,PD-WRL-001,2798,,
T,T1386,T1386 - Analyze network traffic anomalies,Analyze network traffic anomalies,1,,,,0,null,PD-WRL-001,2821,,
T,T1368,T1368 - Support cybersecurity compliance activities,Support cybersecurity compliance activities,1,,,,0,null,"OG-WRL-012,OG-WRL-014",2799,,
T,T1378,T1378 - Identify cybersecurity solutions tools and technologies,Identify cybersecurity solutions tools and technologies,1,,,,0,null,DD-WRL-008,2814,,
T,T1352,T1352 - Coordinate critical cyber defense infrastructure protection measures,Coordinate critical cyber defense infrastructure protection measures,1,,,,0,null,PD-WRL-004,2800,,
T,T1390,T1390 - Identify network device applications and operating systems,Identify network device applications and operating systems,1,,,,0,null,PD-WRL-001,2825,,
T,T1361,T1361 - Determine the impact of new system and interface implementations on organization's ...,Determine the impact of new system and interface implementations on organization's cybersecurity posture,1,,,,0,null,"DD-WRL-001,OG-WRL-012",2801,,
T,T1379,T1379 - Design cybersecurity tools and technologies,Design cybersecurity tools and technologies,1,,,,0,null,DD-WRL-008,2815,,
T,T1353,T1353 - Prioritize critical cyber defense infrastructure resources,Prioritize critical cyber defense infrastructure resources,1,,,,0,null,PD-WRL-004,2802,,
T,T1387,T1387 - Validate intrusion detection system alerts,Validate intrusion detection system alerts,1,,,,0,null,"PD-WRL-001,PD-WRL-002",2822,,
T,T1404,T1404 - Select cybersecurity mechanisms,Select cybersecurity mechanisms,1,,,,0,null,"DD-WRL-001,DD-WRL-002",2803,,
T,T1380,T1380 - Develop cybersecurity tools and technologies,Develop cybersecurity tools and technologies,1,,,,0,null,DD-WRL-008,2816,,
T,T1354,T1354 - Identify system cybersecurity requirements,Identify system cybersecurity requirements,1,,,,0,null,"DD-WRL-005,IO-WRL-003,OG-WRL-007,OG-WRL-014",2804,,
T,T1392,T1392 - Develop user experience requirements,Develop user experience requirements,1,,,,0,null,DD-WRL-006,2827,,
T,T1369,"T1369 - Determine if acquisitions, procurement, and outsourcing efforts address cybersecurity ...","Determine if acquisitions, procurement, and outsourcing efforts address cybersecurity requirements",1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-012,OG-WRL-009,OG-WRL-014",2805,,
T,T1381,T1381 - Scan digital media for viruses,Scan digital media for viruses,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2817,,
T,T1370,T1370 - Collect intrusion artifacts,Collect intrusion artifacts,1,,,,0,null,"IN-WRL-002,PD-WRL-003,PD-WRL-002",2806,,
T,T1388,T1388 - Isolate malware,Isolate malware,1,,,,0,null,PD-WRL-001,2823,,
T,T1371,T1371 - Mitigate potential cyber defense incidents,Mitigate potential cyber defense incidents,1,,,,0,null,"PD-WRL-003,PD-WRL-002",2807,,
T,T1382,T1382 - Mount a drive image,Mount a drive image,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2818,,
T,T1372,T1372 - Advise law enforcement personnel as technical expert,Advise law enforcement personnel as technical expert,1,,,,0,null,"PD-WRL-003,PD-WRL-002",2808,,
T,T1391,T1391 - Reconstruct malicious attacks,Reconstruct malicious attacks,1,,,,0,null,PD-WRL-001,2826,,
T,T1373,T1373 - Determine organizational compliance,Determine organizational compliance,1,,,,0,null,OG-WRL-014,2809,,
T,T1383,T1383 - Utilize deployable forensics toolkit,Utilize deployable forensics toolkit,1,,,,0,null,"IN-WRL-002,PD-WRL-002",2819,,
T,T1374,T1374 - Forecast ongoing service demands,Forecast ongoing service demands,1,,,,0,null,OG-WRL-014,2810,,
T,T1389,T1389 - Remove malware,Remove malware,1,,,,0,null,PD-WRL-001,2824,,
T,T1375,T1375 - Conduct periodic reviews of security assumptions,Conduct periodic reviews of security assumptions,1,,,,0,null,OG-WRL-014,2811,,
T,T1384,T1384 - Establish intrusion set procedures,Establish intrusion set procedures,1,,,,0,null,PD-WRL-001,2820,,
T,T1376,T1376 - Develop critical infrastructure protection policies and procedures,Develop critical infrastructure protection policies and procedures,1,,,,0,null,"OG-WRL-007,OG-WRL-014",2812,,
T,T1394,"T1394 - Develop independent cybersecurity audit processes for application software, networks, and...","Develop independent cybersecurity audit processes for application software, networks, and systems",1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-002,OG-WRL-003,OG-WRL-009,OG-WRL-016",2829,,
T,T1393,T1393 - Document user experience requirements,Document user experience requirements,1,,,,0,null,DD-WRL-006,2828,,
T,T1395,"T1395 - Implement independent cybersecurity audit processes for application software, networks, ...","Implement independent cybersecurity audit processes for application software, networks, and systems",1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-002,OG-WRL-003,OG-WRL-009,OG-WRL-016",2830,,
K,K1175,K1175 - Knowledge of network monitoring tools and techniques,Knowledge of network monitoring tools and techniques,1,,,,0,null,"IN-WRL-002,PD-WRL-002",4378,,
T,T1396,T1396 - Oversee independent cybersecurity audits,Oversee independent cybersecurity audits,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-002,OG-WRL-003,OG-WRL-009,OG-WRL-016",2831,,
T,T1409,T1409 - Document quality standards,Document quality standards,1,,,,0,null,DD-WRL-006,2847,,
T,T1397,T1397 - Determine if research and design processes and procedures are in compliance with ...,Determine if research and design processes and procedures are in compliance with cybersecurity requirements,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-002,OG-WRL-003,OG-WRL-009,OG-WRL-016",2832,,
T,T1427,T1427 - Maintain incident tracking and solution databases,Maintain incident tracking and solution databases,1,,,,0,null,IO-WRL-007,2858,,
T,T1398,T1398 - Determine if research and design processes and procedures are accurately followed by ...,Determine if research and design processes and procedures are accurately followed by cybersecurity staff when performing their day-to-day activities,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-002,OG-WRL-003,OG-WRL-009,OG-WRL-016",2833,,
T,T1431,T1431 - Integrate system components,Integrate system components,1,,,,0,null,DD-WRL-006,2848,,
T,T1399,"T1399 - Develop supply chain, system, network, and operational security contract language","Develop supply chain, system, network, and operational security contract language",1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-009,OG-WRL-016",2834,,
T,T1413,T1413 - Develop training modules and classes,Develop training modules and classes,1,,,,0,null,"OG-WRL-004,OG-WRL-005",2855,,
T,T1400,T1400 - Design and develop secure applications,Design and develop secure applications,1,,,,0,null,"DD-WRL-003,DD-WRL-005,IO-WRL-001",2835,,
T,T1410,T1410 - Develop system security contexts,Develop system security contexts,1,,,,0,null,"DD-WRL-001,DD-WRL-002",2849,,
T,T1401,T1401 - Integrate system development life cycle methodologies into development environment,Integrate system development life cycle methodologies into development environment,1,,,,0,null,DD-WRL-004,2836,,
T,T1435,T1435 - Determine if technology services are delivered successfully,Determine if technology services are delivered successfully,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-009",2860,,
T,T1402,T1402 - Manage databases and data management systems,Manage databases and data management systems,1,,,,0,null,IO-WRL-002,2837,,
